Species,Kingdom,Phylum,Class,Order,Family ,db,db_code,Body Length,Unit,Measurement Type,Metric,Number of Individuals,Sex,Age,Lifestage,Level,Searched By,Notes,Citation,Link,Time Searched
Nemacladus orientalis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,gbif,GBIF:5937521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemacladus pinnatifidus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,gbif,GBIF:3161500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemacladus ramosissimus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,gbif,GBIF:3161524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemacladus rubescens,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,gbif,GBIF:3161506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemacladus sigmoideus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,gbif,GBIF:3161510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemacladus tenuis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,gbif,GBIF:5937524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemophila heterophylla,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,gbif,GBIF:2928027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemophila menziesii,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,gbif,GBIF:2928026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemophila parviflora,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,gbif,GBIF:2928037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemophila pedunculata,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,gbif,GBIF:2928033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nemophila spatulata,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,gbif,GBIF:2928032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Neoholmgrenia andina,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:4926467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Neostapfia colusana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2705471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nepeta discolor,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:5610591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nepeta nuda,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:7309059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nepeta septemcrenata,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:5609720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nephrolepis brownii,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Nephrolepidaceae,gbif,GBIF:4196780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nicolletia occidentalis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3125759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nicotiana acuminata,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,gbif,GBIF:2928781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nicotiana attenuata,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,gbif,GBIF:2928765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nicotiana clevelandii,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,gbif,GBIF:2928773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nicotiana obtusifolia,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,gbif,GBIF:8279512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nicotiana quadrivalvis,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,gbif,GBIF:2928770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gymnadenia miniata,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2840596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gymnadenia nigra,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2840590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gymnadenia rhellicani,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2840460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nitrophila mohavensis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,gbif,GBIF:3083628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Noccaea caerulescens,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,gbif,GBIF:3045463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Noccaea fendleri,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,gbif,GBIF:3045261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nolina bigelovii,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2777004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nolina interrata,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2777027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nolina parryi,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2777019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Microseris alpestris,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:7353183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nothocalais alpestris,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:7353183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nothochelone nemorosa,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,gbif,GBIF:3172021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Notholaena californica,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,gbif,GBIF:2651611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nototriche phyllanthos,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,gbif,GBIF:3934163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nuphar lutea,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,gbif,GBIF:7551339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nuphar polysepala,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,gbif,GBIF:7696337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nuphar pumila,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,gbif,GBIF:6435002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nuttallanthus texanus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,gbif,GBIF:3172129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nymphaea alba,Plantae,Tracheophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,gbif,GBIF:2882437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nymphoides peltata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Menyanthaceae,gbif,GBIF:8810827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nyssa ogeche,Plantae,Tracheophyta,Magnoliopsida,Cornales,Nyssaceae,gbif,GBIF:5383722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oclemena acuminata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3099206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ocotea sp.,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Odontostomum hartwegii,Plantae,Tracheophyta,Liliopsida,Asparagales,Tecophilaeaceae,gbif,GBIF:2860915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenanthe aquatica,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:5371888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenanthe fistulosa,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:5371890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenanthe fluviatilis,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:5540419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenanthe pimpinelloides,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:5371889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenanthe sarmentosa,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:5371891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenanthe silaifolia,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:6027222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera adriatica,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3666037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera californica,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3188921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera cespitosa,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3188809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera deltoides,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3188882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera primiveris,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3188874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera sinuosa,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3665147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera speciosa,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3188859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera stucchii,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3664762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera suffrutescens,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3664650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oenothera xenogaura,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gbif,GBIF:3667696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oligomeris linifolia,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,gbif,GBIF:3040257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gnaphalium supinum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3104537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Onobrychis arenaria,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2972841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ononis natrix,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2977234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ononis pusilla,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2977214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ononis reclinata,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2977133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ononis repens,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2977149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Onopordum acanthium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3094900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Onosma helvetica,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,gbif,GBIF:7294427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Onosma hookeri,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,gbif,GBIF:7294418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Onosma onosma,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ophioglossum californicum,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,gbif,GBIF:2650150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ophrys bertoloniiformis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2792725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ophrys sphegodes,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2793334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Opuntia basilaris,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,gbif,GBIF:5384070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Opuntia chlorotica,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,gbif,GBIF:5384111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Opuntia engelmannii,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,gbif,GBIF:5384073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Opuntia littoralis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,gbif,GBIF:5384134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Opuntia phaeacantha,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,gbif,GBIF:5384038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Opuntia erinacea,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,gbif,GBIF:5384095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orchis anthropophora,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2849624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Anacamptis coriophora,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2808461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orchis militaris,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2809968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orchis pallens,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2810078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orchis provincialis,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2849419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orchis purpurea,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:8794742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orchis simia,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2812415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Neotinea tridentata,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,gbif,GBIF:2812392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orcuttia californica,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2702926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orcuttia inaequalis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2702923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orcuttia pilosa,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2702920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orcuttia tenuis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2702925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chaerophyllum andicola,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3642753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oreonana vestita,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3034436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oreosolen wattii,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,gbif,GBIF:3731345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oreostemma alpigenum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3087061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oritrophium peruvianum,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3096721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orlaya grandiflora,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3638282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ornithogalum kochii,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2773142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Loncomelos pyrenaicum,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2772902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ornithopus perpusillus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:5358256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aphyllon tuberosum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche bulbosa,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche caryophyllacea,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3734492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aphyllon cooperi,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:8056989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche cooperi,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:8056989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche elatior,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:7718653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aphyllon fasciculatum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche fasciculata,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche gracilis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:7750780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche lutea,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:7943745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche minor,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche rapum-genistae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3731346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche reticulata,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:7332320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche teucrii,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3730664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orobanche uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aphyllon uniflorum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3173298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orochaenactis thysanocarpha,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3125958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Orthocarpus cuspidatus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,gbif,GBIF:3171627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Piptatherum miliaceum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:7944452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmadenia tenella,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3101385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmorhiza berteroi,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3034148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmorhiza brachypoda,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3034170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmorhiza claytonii,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:7787204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmorhiza longistylis,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3034155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmunda claytoniana,Plantae,Tracheophyta,Polypodiopsida,Osmundales,Osmundaceae,gbif,GBIF:9684539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmunda regalis,Plantae,Tracheophyta,Polypodiopsida,Osmundales,Osmundaceae,gbif,GBIF:8049341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Osmundastrum cinnamomeum,Plantae,Tracheophyta,Polypodiopsida,Osmundales,Osmundaceae,gbif,GBIF:7319895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxalis californica,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,gbif,GBIF:6423017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxalis albicans,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,gbif,GBIF:2891711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxalis dillenii,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,gbif,GBIF:2891677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxalis montana,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,gbif,GBIF:2891760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxalis oregana,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,gbif,GBIF:8017574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxalis pilosa,Plantae,Tracheophyta,Magnoliopsida,Oxalidales,Oxalidaceae,gbif,GBIF:7531821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxypolis occidentalis,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3034747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxytheca dendroidea,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:2888877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxytropis halleri,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:5361240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxytropis sp.,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:5361143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oxytropis neglecta,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:5361143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Packera bernardina,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3114083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
